Proporsi penghapusan,Random Forest,Accuracy SISA,Accuracy DaRE,Time Base,Time SISA,Time DaRE,Accuracy Base
0.2708,,0.9444444444444444,0.9722222222222222,0.03683733940124512,0.028018951416015625,0.0,0.9722222222222222
0.2778,,0.9444444444444444,0.9722222222222222,0.04266643524169922,0.032839298248291016,0.0009984970092773438,0.9722222222222222
0.2847,,0.9444444444444444,0.9722222222222222,0.03445887565612793,0.03860330581665039,0.0009999275207519531,0.9722222222222222
0.2917,,0.9444444444444444,0.9722222222222222,0.03595423698425293,0.03463101387023926,0.0010061264038085938,0.9722222222222222
0.2986,,0.9166666666666666,0.9722222222222222,0.03786301612854004,0.03139638900756836,0.0010004043579101562,0.9722222222222222
0.3056,,0.9166666666666666,0.9722222222222222,0.03683948516845703,0.03339242935180664,0.0011262893676757812,0.9722222222222222
0.3125,,0.9444444444444444,0.9722222222222222,0.03666853904724121,0.03416705131530762,0.0,0.9444444444444444
0.3194,,0.9444444444444444,0.9722222222222222,0.0364527702331543,0.03277778625488281,0.0011205673217773438,0.9444444444444444
0.3264,,0.9444444444444444,0.9722222222222222,0.02962517738342285,0.02808856964111328,0.0,0.9444444444444444
0.3333,,0.9444444444444444,0.9722222222222222,0.04170966148376465,0.03696489334106445,0.0,0.9444444444444444
0.3403,,0.9166666666666666,0.9722222222222222,0.0344700813293457,0.0330357551574707,0.0020112991333007812,0.9444444444444444
0.3472,,0.8611111111111112,0.9722222222222222,0.034664154052734375,0.03433942794799805,0.0011246204376220703,0.9444444444444444
0.3542,,0.9166666666666666,0.9722222222222222,0.0358281135559082,0.02723526954650879,0.0,0.9444444444444444
0.3611,,0.9166666666666666,0.9722222222222222,0.034804582595825195,0.03176689147949219,0.00099945068359375,0.9444444444444444
0.3681,,0.9166666666666666,0.9722222222222222,0.030780792236328125,0.03424859046936035,0.0,0.9444444444444444
0.375,,0.8888888888888888,0.9722222222222222,0.03570437431335449,0.0290682315826416,0.00099945068359375,0.9444444444444444
0.3819,,0.8888888888888888,0.9722222222222222,0.029752731323242188,0.03317999839782715,0.0,0.9444444444444444
0.3889,,0.8888888888888888,0.9722222222222222,0.03451800346374512,0.03055858612060547,0.0,0.9444444444444444
0.3958,,0.8333333333333334,0.9722222222222222,0.03426790237426758,0.03430008888244629,0.001302480697631836,0.9444444444444444
0.4028,,0.8611111111111112,0.9722222222222222,0.035213470458984375,0.027845144271850586,0.0010037422180175781,0.9444444444444444
0.4097,,0.8611111111111112,0.9722222222222222,0.03545188903808594,0.031468868255615234,0.0010085105895996094,0.9444444444444444
0.4167,,0.9166666666666666,0.9722222222222222,0.034548044204711914,0.03199481964111328,0.0,0.9722222222222222
0.4236,,0.9166666666666666,0.9722222222222222,0.03437376022338867,0.033493995666503906,0.0010089874267578125,0.9722222222222222
0.4306,,0.8611111111111112,0.9722222222222222,0.03461003303527832,0.027669191360473633,0.001003265380859375,0.9722222222222222
0.4375,,0.8611111111111112,0.9722222222222222,0.03674173355102539,0.03442835807800293,0.0010008811950683594,0.9722222222222222
0.4444,,0.8611111111111112,0.9722222222222222,0.035344600677490234,0.033145904541015625,0.0,0.9722222222222222
0.4514,,0.8611111111111112,0.9722222222222222,0.040686845779418945,0.03496575355529785,0.0,0.9166666666666666
0.4583,,0.9166666666666666,0.9722222222222222,0.035158634185791016,0.03600716590881348,0.0,0.9166666666666666
0.4653,,0.9166666666666666,0.9722222222222222,0.03642392158508301,0.03323698043823242,0.0011851787567138672,0.9166666666666666
0.4722,,0.9166666666666666,0.9722222222222222,0.0322270393371582,0.03524208068847656,0.001608133316040039,0.9722222222222222
0.4792,,0.9166666666666666,0.9722222222222222,0.03646111488342285,0.031607627868652344,0.00048232078552246094,0.9722222222222222
0.4861,,0.9166666666666666,0.9722222222222222,0.0378110408782959,0.032567739486694336,0.0009996891021728516,0.9444444444444444
0.4931,,0.9166666666666666,0.9722222222222222,0.03467917442321777,0.036672353744506836,0.0002090930938720703,0.9444444444444444
0.5,,0.8888888888888888,0.9722222222222222,0.034856557846069336,0.03281903266906738,0.0,0.9444444444444444
0.5069,,0.7777777777777778,0.9722222222222222,0.03678774833679199,0.032439470291137695,0.0016553401947021484,0.9444444444444444
0.5139,,0.75,0.9722222222222222,0.042523860931396484,0.03895068168640137,0.0,0.9444444444444444
