Jumlah data;Accuracy Base;Accuracy SISA;Accuracy DaRE;Time Base;Time SISA;Time DaRE
42;0,796296296;0,925925926;0,907407407;0,042128325;0,031021833;0
41;0,796296296;0,925925926;0,907407407;0,03406024;0,034403801;0
40;0,814814815;0,925925926;0,888888889;0,031898975;0,035551548;0
39;0,777777778;0,87037037;0,888888889;0,040330648;0,03799367;0,000991344
38;0,777777778;0,925925926;0,925925926;0,031446218;0,036322117;0
37;0,888888889;0,925925926;0,925925926;0,041095972;0,039333582;0,00039959
36;0,796296296;0,925925926;0,925925926;0,036369562;0,035214663;0
35;0,796296296;0,925925926;0,925925926;0,03788662;0,037174463;0,001007795
34;0,796296296;0,907407407;0,925925926;0,037419319;0,039635897;0
33;0,87037037;0,907407407;0,907407407;0,034540415;0,038918972;0,006838083
32;0,87037037;0,907407407;0,925925926;0,033204794;0,041194439;0
31;0,87037037;0,907407407;0,925925926;0,032084703;0,035376072;0,001508951
30;0,814814815;0,907407407;0,925925926;0,033924341;0,034631729;0,001004934
29;0,814814815;0,907407407;0,944444444;0,035607576;0,030771971;0
28;0,814814815;0,962962963;0,944444444;0,04065752;0,035511494;0,00107193
27;0,814814815;0,833333333;0,925925926;0,041051865;0,036705971;0,001002073
26;0,814814815;0,833333333;0,925925926;0,034018517;0,034675121;0
25;0,796296296;0,833333333;0,944444444;0,036342621;0,034805298;0
24;0,796296296;0,925925926;0,944444444;0,038261652;0,036166668;0
23;0,759259259;0,851851852;0,925925926;0,037221432;0,036789179;0
22;0,759259259;0,759259259;0,925925926;0,037676811;0,034501553;0
21;0,666666667;0,814814815;0,907407407;0,034995079;0,033795118;0,000999689
20;0,666666667;0,833333333;0,888888889;0,035881519;0,038633347;0,000995874
19;0,685185185;0,833333333;0,814814815;0,037819624;0,042006493;0
18;0,685185185;0,777777778;0,777777778;0,045368671;0,038750172;0,001122236
17;0,685185185;0,777777778;0,759259259;0,036648035;0,033631563;0
16;0,685185185;0,722222222;0,796296296;0,036964893;0,030118704;0,001009941
15;0,685185185;0,722222222;0,759259259;0,029773951;0,034092665;0
14;0,5;0,611111111;0,796296296;0,040428162;0,034692764;0
13;0,685185185;0,611111111;0,796296296;0,039368153;0,035418272;0
12;0,5;0,62962963;0,814814815;0,036661863;0,036675215;0,000635147
11;0,425925926;0,537037037;0,777777778;0,034301996;0,040588379;0
10;0,518518519;0,537037037;0,740740741;0,038789272;0,034081221;0
9;0,518518519;0,5;0,703703704;0,039756775;0,035562038;0,000503302
8;0,518518519;0,592592593;0,796296296;0,037301779;0,034455061;0,000994444
7;0,518518519;0,592592593;0,537037037;0,034693241;0,03704071;0
6;0,574074074;0,592592593;0,592592593;0,031793356;0,033656836;0
5;0,5;0,611111111;0,537037037;0,035474539;0,033952951;0,001003265
4;0,462962963;0,481481481;0,518518519;0,036359549;0,032949686;0,001127005
3;0,481481481;0,481481481;0,481481481;0,032436848;0,039668083;0
;;;;0,039194088;0,036785291;0,00065752
